,Latitude,Longitude,X,Y,Restaurants_nearby,closest_punjabi_restro
406,28.622567835738902,77.22593286793861,7115696.987048123,5499882.816491392,0,587.6399369661002
407,28.622183732139465,77.22640770478841,7115796.987048123,5499882.816491392,0,564.2192218763472
408,28.62179963148752,77.22688253234985,7115896.987048123,5499882.816491392,0,489.15222490581095
409,28.621415533783146,77.22735735062307,7115996.987048123,5499882.816491392,0,424.49554523676613
410,28.621031439026442,77.22783215960828,7116096.987048123,5499882.816491392,0,375.66346205269116
411,28.620647347217464,77.22830695930573,7116196.987048123,5499882.816491392,0,294.20361834082536
412,28.62026325835631,77.22878174971562,7116296.987048123,5499882.816491392,1,195.9299904449582
413,28.61987917244306,77.22925653083817,7116396.987048123,5499882.816491392,1,101.10070853702672
414,28.628884750653018,77.21894877626198,7114146.987048123,5499969.419031771,3,188.58400191282507
415,28.628500595619794,77.2194237528237,7114246.987048123,5499969.419031771,5,131.20584952351376
416,28.628116443532907,77.21989872009364,7114346.987048123,5499969.419031771,6,78.4523715285607
417,28.627732294392437,77.220373678072,7114446.987048123,5499969.419031771,6,122.85997821798485
418,28.627348148198454,77.22084862675902,7114546.987048123,5499969.419031771,4,209.84368919982344
419,28.626964004951052,77.22132356615492,7114646.987048123,5499969.419031771,1,304.9166665603251
420,28.6265798646503,77.22179849625991,7114746.987048123,5499969.419031771,0,402.38535410167316
421,28.62619572729629,77.22227341707418,7114846.987048123,5499969.419031771,0,465.38911809815625
422,28.625811592889086,77.22274832859797,7114946.987048123,5499969.419031771,0,468.72259897463977
423,28.625427461428778,77.22322323083151,7115046.987048123,5499969.419031771,0,403.5596375612715
424,28.62504333291546,77.22369812377498,7115146.987048123,5499969.419031771,0,354.9927990081329
425,28.624659207349197,77.2241730074286,7115246.987048123,5499969.419031771,0,330.4230525049251
426,28.624275084730062,77.22464788179262,7115346.987048123,5499969.419031771,0,335.16995674689633
427,28.62389096505816,77.22512274686721,7115446.987048123,5499969.419031771,0,368.1010814773032
428,28.623506848333545,77.22559760265263,7115546.987048123,5499969.419031771,0,422.6794440989579
429,28.623122734556322,77.22607244914907,7115646.987048123,5499969.419031771,0,491.74934544221605
430,28.62273862372655,77.22654728635673,7115746.987048123,5499969.419031771,0,570.0674740957353
431,28.622354515844332,77.22702211427585,7115846.987048123,5499969.419031771,0,586.3484214714941
432,28.621970410909714,77.22749693290665,7115946.987048123,5499969.419031771,0,524.1479182040764
433,28.62158630892281,77.22797174224932,7116046.987048123,5499969.419031771,0,442.85279969929576
434,28.621202209883695,77.2284465423041,7116146.987048123,5499969.419031771,0,343.4405251458132
435,28.620818113792435,77.22892133307118,7116246.987048123,5499969.419031771,1,244.50804981300584
436,28.620434020649128,77.22939611455081,7116346.987048123,5499969.419031771,1,147.0271353672061
437,28.62004993045383,77.22987088674317,7116446.987048123,5499969.419031771,1,58.73474819231074
438,28.629439759882295,77.21908836102187,7114096.987048123,5500056.021572149,3,170.23219436709195
439,28.629055597618038,77.21956333794324,7114196.987048123,5500056.021572149,4,89.07910522135609
440,28.628671438300156,77.22003830557271,7114296.987048123,5500056.021572149,5,55.92477822419854
441,28.62828728192874,77.22051326391048,7114396.987048123,5500056.021572149,5,45.46845575444783
442,28.627903128503853,77.2209882129568,7114496.987048123,5500056.021572149,4,144.93853910524479
443,28.62751897802559,77.22146315271182,7114596.987048123,5500056.021572149,2,244.84072326153375
444,28.627134830494025,77.22193808317583,7114696.987048123,5500056.021572149,0,328.13900478430804
445,28.626750685909244,77.22241300434901,7114796.987048123,5500056.021572149,0,365.3939159367183
446,28.626366544271328,77.22288791623156,7114896.987048123,5500056.021572149,0,423.49760465237944
