,Address,Latitude,Longitude,Distance_from_center
144,"Shankar Market, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.63127438195501,77.22449148921238,500.1035649821891
145,"Modern School, Barakhamba Road, Shankar Market, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.628969202376947,77.22734074940459,823.8949904394805
146,"Embassy of Nepal, Barakhamba Road, Shankar Market, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.626664128923167,77.23018967515145,1180.351880444586
147,"Doordarshan Bhawan, Bhagwan Das Road, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.624359161611075,77.23303826649943,1547.0370857125554
148,"Aga Khan Hall, 6, Bhagwan Das Road, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.622054300458036,77.2358865234951,1918.0771257572203
149,"Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.61974954548146,77.23873444618492,2291.3437699446536
150,"Chanakya Puri Tehsil, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110503",28.617444896698693,77.24158203461543,2665.890160799691
151,"Pragati Maidan, Bhairon Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.615140354127117,77.24442928883306,3041.23321514606
152,"Faiz Road, Karol Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110005",28.653051549823267,77.20252347093205,2910.8518284006045
153,"Ram Kumar Marg, Multani Dhanda, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.650745261486147,77.20537542143923,2543.720250735676
154,"Motia Khan, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.648439079143603,77.20822703710104,2180.4192830980405
155,"Galli Number 2, Multani Dhanda, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.64613300281307,77.21107831796408,1823.2230439857433
156,"Arya Nagar, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110055",28.643827032512025,77.21392926407489,1476.5473469091573
157,"Western Union, Main Bazar Road, Aram Bagh, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.641521168257903,77.2167798754801,1149.9195428430828
